"customer_city","customer_state","customer_count","total_revenue","avg_revenue_per_customer"
maua,SP,323,48763.63,150.9709907120743034
cuiaba,MT,248,47117.16,189.9885483870967742
aracaju,SE,225,46812.73,208.0565777777777778
praia grande,SP,311,46801.01,150.4855627009646302
bauru,SP,273,45175.83,165.4792307692307692
maringa,PR,271,45171.45,166.6843173431734317
caxias do sul,RS,224,44321.35,197.8631696428571429
natal,RN,207,43606.49,210.6593719806763285
serra,ES,285,42965.77,150.7570877192982456
indaiatuba,SP,280,42055.80,150.1992857142857143
taboao da serra,SP,296,41237.53,139.3159797297297297
joinville,SC,264,41030.38,155.4181060606060606
duque de caxias,RJ,266,40276.37,151.4149248120300752
campos dos goytacazes,RJ,238,40212.11,168.9584453781512605
petropolis,RJ,240,39807.70,165.8654166666666667
volta redonda,RJ,232,39114.51,168.5970258620689655
divinopolis,MG,137,38970.08,284.4531386861313869
macae,RJ,239,38751.06,162.1383263598326360
carapicuiba,SP,328,37641.46,114.7605487804878049
marilia,SP,196,37493.97,191.2957653061224490
santa maria,RS,194,37224.65,191.8796391752577320
sao caetano do sul,SP,277,36936.64,133.3452707581227437
cotia,SP,250,36095.50,144.3820000000000000
taubate,SP,270,35299.00,130.7370370370370370
sao carlos,SP,236,34582.61,146.5364830508474576
betim,MG,203,34507.00,169.9852216748768473
diadema,SP,286,34301.20,119.9342657342657343
guaruja,SP,226,33837.55,149.7236725663716814
uberaba,MG,191,33426.95,175.0102094240837696
feira de santana,BA,185,32466.80,175.4962162162162162
canoas,RS,210,32014.76,152.4512380952380952
nova friburgo,RJ,152,31738.41,208.8053289473684211
montes claros,MG,211,31546.54,149.5096682464454976
presidente prudente,SP,161,29988.07,186.2613043478260870
blumenau,SC,188,29278.17,155.7349468085106383
porto velho,RO,113,29253.63,258.8816814159292035
suzano,SP,234,29181.65,124.7079059829059829
americana,SP,224,28948.54,129.2345535714285714
cascavel,PR,148,27649.60,186.8216216216216216
pelotas,RS,186,27619.14,148.4900000000000000
